Nombre,Apellido,DNI,Fecha Nacimiento,Telefono,Email,Direccion
Sonia Ester,Romero,6728678,31/10/1991,1147827321,sonia@gmail.com,Av. Cordoba 2410
Ricardo Francisco,Barrientos,20052120,08/03/1973,1144778899,matibarrientos@gmail.com,Av.Victoria 408
Martin,Gutierrez,1875946688,01/01/2023,47329821,martingutierrez@gmail.com,Av. Siempre Viva 218
Ariel,Corvalan,21120430,17/08/1975,1144778899,corvi@gmail.com,Junin 2189
Daniela,Matthei,28320850,04/09/2001,1150285917,danimatthei@outlook.com,Entre
Miguel,Solano,47162682,01/04/2004,1147182684,miguelsolano@yahoo.com.ar,Chaco
Mateo,Rivero,38716529,28/03/1982,1148270129,materive@yahoo.com.ar,Av.Avellaneda
Sabrina,Carpenter,28748190,20/07/2001,1147107391,sabricarpen@gmail.com,Entre
Charlie,Evans,36128649,09/02/1999,1148012694,Charlieevans@hotmail.com,Comodoro
Apolo,Creed,44861290,09/06/1998,48072863,Apolocreed@yahoo.com.ar,Chile
Emanuel,Gonzalez,28739172,20/04/1988,47312971,emagonzalez@outlook.com,Montes
Martin,Coronado,0,02/05/2000,1147272764,Martincoro@gmail.com,Peru
Analia,Cordoba,-650580352,05/06/2001,1157912734,anicor@gmail.com,Suipacha
Jeremias,Ruiz,47921082,02/02/1999,1127941072,jereruiz@gmail.com,Peru
Alexis,Sanchez,27492839,09/07/2004,1174903712,alesanchez@gmail.com,Albarellos
Samuel,Deluque,30721902,25/04/1994,1147912084,Samudeluque@gmail.com,Espania
Ignacio,Estevanez,33287409,30/02/1978,1149205801,Ignacioestebanez@gmail.com,Espania
Hernan,Gardiman,290127491,10/02/1990,1147024805,Hernangardi@gmail.com,Solis
Jorge,Fernandez,37927940,17/05/1998,1157023741,jorgefernandez@gmail.com,Lavalleja
Raquel,Solis,28947018,25/11/1990,1157012742,raquelsolis@gmail.com,Dr.
Yazmin,Sanchez,58972940,08/07/2003,1147920751,yazsanchez@gmail.com,Chacabuco 288
Franco,Ricani,28947124,01/04/1997,1157023975,franricani@gmail.com,Lavalle
Mariela,Carpenter,57027930,25/03/1980,1174820812,Maricarpenter@outlook.com,Av.Santa
Juan,Dipiu,47920321,14/08/1995,1147925701,juandipiu@yahoo.com.ar,Montevideo
Oscar,Galvez,27941892,30/08/1986,1164973081,oscargalvez@yahoo.com.ar,Martinez
Dario,Anton,47920810,13/11/1974,1147920583,darioanton@hotmail.com,Don
German,Velez,48720812,05/10/1989,1147908640,germanvelez@outlook.com,Saavedra
Lucas,Garibaldi,48808235,27/12/1998,1136920748,lucasgari@outlook.com,Av.Vidal
Sofia,Martinez,40280274,20/05/1978,1146208940,sofimartinez@gmail.com,Avellaneda
Maria,Vergara,42480192,26/03/1990,1146920391,marivergara@gmail.com,Chacabuco
Mario,Castaneda,28479108,02/10/1989,1156457354,mariocastaneda@yahoo.com.ar,Mendoza
Tito,Calderon,32581048,10/06/1998,47432891,titocalderon@hotmail.com,Costa
Alejandro,Pinpinella,24801294,04/07/1984,1148025579,alepinpi@yahoo.com.ar,Formosa
Antonela,Fragola,28740914,19/04/1992,1154773789,antofragola@hotmail.com,Alto
Ulises,Maidana,23479490,13/11/1993,1174904654,ulimaidana@yahoo.com.ar,Jujuy
Facundo,Tartrazina,49720831,25/07/1987,1147920954,facutartra@gmail.com,Sgo
Rodrigo,Castano,35729752,19/05/1998,1146748939,rodricastano@hotmail.com,Santa
